fecha,ciudad,temperatura_c,precipitacion_mm
2024-09-14,Guadalajara,20.8,4.6
2024-09-15,Guadalajara,16.4,13.5
2024-09-16,Guadalajara,17.7,0
2024-09-17,Guadalajara,17.2,13.2
2024-09-18,Guadalajara,18.1,1.5
2024-09-19,Guadalajara,17.5,2.8
2024-09-20,Guadalajara,18.9,2.1
2024-09-21,Guadalajara,17.3,1.5
2024-09-22,Guadalajara,17.0,3.3
2024-09-23,Guadalajara,16.8,1.7
2024-09-24,Guadalajara,16.0,3.2
2024-09-25,Guadalajara,19.7,0.9
2024-09-26,Guadalajara,19.3,3.4
2024-09-27,Guadalajara,16.0,0
2024-09-28,Guadalajara,18.9,3.2
2024-09-29,Guadalajara,16.8,2.1
2024-09-30,Guadalajara,16.1,2.4
2024-10-01,Guadalajara,19.8,1.3
2024-10-02,Guadalajara,14.8,0.4
2024-10-03,Guadalajara,19.3,1.6
2024-10-04,Guadalajara,16.0,0
2024-10-05,Guadalajara,15.0,3.0
2024-10-06,Guadalajara,18.1,1.8
2024-10-07,Guadalajara,15.7,4.7
2024-10-08,Guadalajara,18.7,2.6
2024-10-09,Guadalajara,19.6,4.8
2024-10-10,Guadalajara,16.0,6.1
2024-10-11,Guadalajara,17.6,2.3
2024-10-12,Guadalajara,17.6,1.4
2024-10-13,Guadalajara,17.8,0
2024-10-14,Guadalajara,21.6,0.6
2024-10-15,Guadalajara,16.3,5.0
2024-10-16,Guadalajara,21.3,0
2024-10-17,Guadalajara,18.1,1.2
2024-10-18,Guadalajara,18.7,2.0
2024-10-19,Guadalajara,18.6,3.7
2024-10-20,Guadalajara,12.9,3.1
2024-10-21,Guadalajara,15.2,2.0
2024-10-22,Guadalajara,17.2,3.4
2024-10-23,Guadalajara,16.6,2.2
2024-10-24,Guadalajara,14.9,2.9
2024-10-25,Guadalajara,20.8,0
2024-10-26,Guadalajara,18.3,0
2024-10-27,Guadalajara,16.5,2.6
2024-10-28,Guadalajara,19.4,1.8
2024-10-29,Guadalajara,14.5,1.1
2024-10-30,Guadalajara,15.5,1.4
2024-10-31,Guadalajara,17.9,2.2
2024-11-01,Guadalajara,16.1,3.3
2024-11-02,Guadalajara,16.2,2.1
2024-11-03,Guadalajara,14.6,3.4
2024-11-04,Guadalajara,13.4,3.7
2024-11-05,Guadalajara,16.8,0.8
2024-11-06,Guadalajara,16.9,0
2024-11-07,Guadalajara,18.3,0.4
2024-11-08,Guadalajara,16.9,0
2024-11-09,Guadalajara,18.2,1.7
2024-11-10,Guadalajara,16.6,3.5
2024-11-11,Guadalajara,18.7,2.3
2024-11-12,Guadalajara,18.5,2.7
2024-11-13,Guadalajara,17.3,4.3
2024-11-14,Guadalajara,19.1,1.1
2024-11-15,Guadalajara,16.7,2.8
2024-11-16,Guadalajara,17.6,3.8
2024-11-17,Guadalajara,18.8,3.6
2024-11-18,Guadalajara,17.7,0.5
2024-11-19,Guadalajara,14.9,1.8
2024-11-20,Guadalajara,17.6,0.6
2024-11-21,Guadalajara,18.0,2.1
2024-11-22,Guadalajara,16.8,0.4
2024-11-23,Guadalajara,19.1,6.5
2024-11-24,Guadalajara,17.3,3.5
2024-11-25,Guadalajara,17.5,4.3
2024-11-26,Guadalajara,18.2,4.6
2024-11-27,Guadalajara,16.3,2.9
2024-11-28,Guadalajara,18.0,2.6
2024-11-29,Guadalajara,19.2,0.5
2024-11-30,Guadalajara,19.8,0
2024-12-01,Guadalajara,17.1,0
2024-12-02,Guadalajara,16.5,3.7
2024-12-03,Guadalajara,15.4,2.0
2024-12-04,Guadalajara,18.4,2.7
2024-12-05,Guadalajara,17.2,2.5
2024-12-06,Guadalajara,18.7,2.3
2024-12-07,Guadalajara,15.6,0.4
2024-12-08,Guadalajara,19.5,3.2
2024-12-09,Guadalajara,17.4,7.1
2024-12-10,Guadalajara,19.4,0.8
2024-12-11,Guadalajara,18.9,3.5
2024-12-12,Guadalajara,18.2,1.3
2024-12-13,Guadalajara,19.2,0.4
2024-12-14,Guadalajara,15.5,2.7
2024-12-15,Guadalajara,18.3,2.0
2024-12-16,Guadalajara,17.8,6.4
2024-12-17,Guadalajara,18.3,7.2
2024-12-18,Guadalajara,19.1,2.9
2024-12-19,Guadalajara,17.0,2.0
2024-12-20,Guadalajara,18.7,0
2024-12-21,Guadalajara,19.1,4.4
2024-12-22,Guadalajara,18.8,2.1
2024-12-23,Guadalajara,19.5,3.1
2024-12-24,Guadalajara,19.7,5.1
2024-12-25,Guadalajara,18.1,0.6
2024-12-26,Guadalajara,17.8,3.0
2024-12-27,Guadalajara,20.4,2.6
2024-12-28,Guadalajara,17.7,4.7
2024-12-29,Guadalajara,19.1,1.1
2024-12-30,Guadalajara,19.5,3.4
